two_theta_deg,intensity_raw,intensity_smoothed
15.060067,131.3976,78.8700
15.076813,136.6142,79.1738
15.093559,131.8898,81.2210
15.110306,132.9724,82.5719
15.127052,133.5630,82.7185
15.143798,136.3189,82.0235
15.160544,137.2047,82.5927
15.177290,134.9409,83.8929
15.194036,133.8583,85.0458
15.210783,136.0236,86.0438
15.227529,144.7835,87.2043
15.244275,140.1575,88.4143
15.261021,143.3071,91.1553
15.277767,142.7165,92.7078
15.294513,145.7677,92.6651
15.311260,146.5551,94.2126
15.328006,152.6575,96.9309
15.344752,145.3740,98.8942
15.361498,150.4921,101.3341
15.378244,163.4843,104.6299
15.394990,156.6929,106.8682
15.411736,158.7598,107.6510
15.428483,162.5984,109.5463
15.445229,163.9764,107.5586
15.461975,152.5591,103.6977
15.478721,152.0669,99.7171
15.495467,152.7559,95.0659
15.512213,136.8110,90.4766
15.528960,135.9252,85.3000
15.545706,132.5787,81.7968
15.562452,135.9252,77.6667
15.579198,128.4449,75.8436
15.595944,120.6693,75.3017
15.612690,126.9685,74.1518
15.629436,125.4921,73.6246
15.646183,129.6260,71.5918
15.662929,121.6535,71.8334
15.679675,124.4094,71.5345
15.696421,120.7677,68.7019
15.713167,115.0591,67.1356
15.729913,124.2126,65.6404
15.746660,116.4370,66.4567
15.763406,113.4843,66.6940
15.780152,121.7520,67.3901
15.796898,120.7677,67.4587
15.813644,124.2126,67.6257
15.830390,118.5039,68.8297
15.847137,117.3228,67.1494
15.863883,118.1102,66.0816
15.880629,122.8346,66.4141
15.897375,114.7638,66.2298
15.914121,112.1063,66.0433
15.930867,126.6732,65.6976
15.947613,119.2913,65.2341
15.964360,113.4843,64.0792
15.981106,113.1890,64.5073
15.997852,118.1102,64.2916
16.014598,116.2402,63.5682
16.031344,114.3701,65.1474
16.048090,120.4724,65.9667
16.064837,119.2913,66.2489
16.081583,118.7008,64.9723
16.098329,115.8465,64.2375
16.115075,113.5827,63.1596
16.131821,114.7638,61.1333
16.148567,109.0551,59.3651
16.165314,113.0906,58.7376
16.182060,111.0236,58.3907
16.198806,108.6614,58.4494
16.215552,109.1535,58.8727
16.232298,114.7638,59.4596
16.249044,110.9252,59.5569
16.265790,113.4843,59.9141
16.282537,113.2874,60.7256
16.299283,111.1220,61.0830
16.316029,113.9764,62.1735
16.332775,113.5827,63.5808
16.349521,118.3071,63.1832
16.366267,117.2244,63.5852
16.383014,119.6850,64.5954
16.399760,112.3031,64.1622
16.416506,111.4173,64.2868
16.433252,120.0787,63.6439
16.449998,118.7008,63.5556
16.466744,112.9921,63.3945
16.483490,117.8150,64.1950
16.500237,113.6811,64.2501
16.516983,115.2559,62.7744
16.533729,115.3543,62.3233
16.550475,116.4370,62.2109
16.567221,114.3701,61.4439
16.583967,109.8425,62.1779
16.600714,113.5827,62.3027
16.617460,114.7638,61.4093
16.634206,115.2559,60.0616
16.650952,116.2402,60.0908
16.667698,110.0394,60.9846
16.684444,106.3976,60.9066
16.701191,112.2047,61.4979
16.717937,119.6850,61.3799
16.734683,118.2087,62.5284
16.751429,113.7795,64.2191
16.768175,115.2559,63.9872
16.784921,111.9094,62.8946
16.801667,119.5866,62.5498
16.818414,114.1732,62.7326
